Year,Rank,Title_CN,Title_JP,Info,Score,RatingCount
2019,Rank476,擅长捉弄的高木同学 第二季,からかい上手の高木さん②,12话 /  2019年7月7日 / 赤城博昭 / 山本崇一朗「からかい上手の高木さん」「あしたは土曜日」（小学館「ゲッサン」連載中） / 高野綾,7.7,8533人评分
2020,Rank178,黄金神威 第三季,ゴールデンカムイ 第3期,12话 /  2020年10月5日 / 難波日登志 / 野田サトル（集英社「週刊ヤングジャンプ」連載） / 大貫健一,8.1,3269人评分
2020,Rank186,别对映像研出手！,映像研には手を出すな！,12话 /  2020年1月5日 / 湯浅政明 / 大童澄瞳（小学館「月刊！スピリッツ」連載中） / 浅野直之,8.1,8585人评分
2020,Rank270,来自深渊 深沉灵魂的黎明,メイドインアビス 深き魂の黎明,1话 /  2020年1月17日 / 小島正幸 / つくしあきひと（竹書房「WEBコミックガンマ」） / 黄瀬和哉,7.9,10312人评分
2020,Rank321,辉夜大小姐想让我告白?～天才们的恋爱头脑战～,かぐや様は告らせたい?～天才たちの恋愛頭脳戦～,12话 /  2020年4月11日 / 畠山守(小俣真一) / 赤坂アカ（集英社「週刊ヤングジャンプ」連載） / 八尋裕子,7.9,22697人评分
2020,Rank492,少女与战车 最终章 第2话,ガールズ&パンツァー 最終章 第2話,1话 /  2019年6月15日 / 水島努 / 杉本功,7.7,2617人评分
2020,Rank530,进击的巨人 最终季,進撃の巨人 The Final Season,16话 /  2020年12月6日 / 林祐一郎 / 諫山創（別冊少年マガジン連載／講談社） / 岸友洋,7.7,13933人评分
2020,Rank531,异种族风俗娘评鉴指南,異種族レビュアーズ,12话 /  2020年1月11日 / 小川優樹 / 天原；作画：masha（ドラゴンコミックスエイジ「異種族レビュアーズ」／KADOKAWA刊） / うのまこと,7.7,13319人评分
2020,Rank608,排球少年 TO THE TOP 第二期,ハイキュー!! TO THE TOP 第2クール,12话 /  2020年10月2日 / 佐藤雅子 / 古舘春一（集英社「週刊少年ジャンプ」連載） / 岸田隆宏,7.7,2919人评分
2020,Rank630,Re：从零开始的异世界生活 新编集版,Re:ゼロから始める異世界生活 新編集版,25话 /  2020年1月1日 / 渡邊政治 / 長月達平（MF文庫J「Re:ゼロから始める異世界生活」/KADOKAWA刊） / 坂井久太,7.6,6812人评分
2020,Rank641,隐瞒之事,かくしごと,12话 /  2020年4月2日 / 村野佑太 / 久米田康治（講談社「月刊少年マガジン」連載） / 山本周平,7.6,6778人评分
2021,Rank41,奇巧计程车,オッドタクシー,13话 /  2021年4月5日 / 木下麦（P.I.C.S.） / P.I.C.S. / 木下麦・中山裕美,8.5,20126人评分
2021,Rank43,剧场版 少女☆歌剧 Revue Starlight,劇場版 少女☆歌劇 レヴュースタァライト,1话 /  2021年6月4日 / 古川知宏 / ブシロード／ネルケプランニング／KINEMA CITRUS / 齊田博之,8.5,10163人评分
2021,Rank68,新・福音战士剧场版：终,シン・エヴァンゲリオン劇場版:│▌,1话 /  2021年3月8日 / 鶴巻和哉、中山勝一、前田真宏 / 庵野秀明 / 錦織敦史、コヤマシゲト、井関修一、安野モヨコ、松原秀典,8.4,13450人评分
2021,Rank72,赛马娘 Pretty Derby 第二季,ウマ娘 プリティーダービー Season 2,13话 /  2021年1月4日 / 及川啓 / Cygames / 椛島洋介、辻智子,8.4,16687人评分
